legacy_path,legacy_sha256,openalex_id,doi,canonical_url,title,source_type,disposition,lifecycle,artifact_level,relevance_status,duplicate_of,output_path,reason
sources/arxiv/2012--absorptive-capacity-an-empirical-examination-of-the-phenomenon-and-relationships-with-firm-capabilit--joshua-j-daspit--w1841615065.md,5b3cc4ea8a89fc474a2a8c4a09de589e814f3b3cb66842e6967cb7ed09af2b82,W1841615065,10.12794/metadc115064,https://doi.org/10.12794/metadc115064,Absorptive Capacity: An Empirical Examination of the Phenomenon and Relationships with Firm Capabilities,thesis,accepted,accepted,abstract,relevant,,sources/academic/thesis/accepted/2012-05-01--absorptive-capacity-an-empirical-examination-of-the-phenomenon-and-relationships-with-firm-capabilit--w1841615065.md,"Title directly studies absorptive capacity, an established organizational learning and knowledge-conversion construct."
sources/arxiv/2012--absorptive-capacity-taking-stock-of-its-progress-and-prospects--raymond-van-wijk--w1905285866.md,c774ff2169c4aaf9841540b6a00a15d5d52726815bbe442dde6872fa9db7e04c,W1905285866,10.1002/9781119207245.ch13,https://doi.org/10.1002/9781119207245.ch13,Absorptive Capacity: Taking Stock of its Progress and Prospects,book-chapter,accepted,accepted,metadata_only,relevant,,sources/academic/book-chapter/accepted/2012-01-02--absorptive-capacity-taking-stock-of-its-progress-and-prospects--w1905285866.md,"Title directly studies absorptive capacity, an established organizational learning and knowledge-conversion construct."
sources/arxiv/2014--customer-centric-knowledge-creation-for-customer-relationship-management--phocharapol-srisamran--w1952543176.md,75d52d52761b8f453996e7f898bd86af4555aa9be9e2055210fd73e2fc53f092,W1952543176,10.19030/jabr.v30i2.8410,https://doi.org/10.19030/jabr.v30i2.8410,Customer-Centric Knowledge Creation For Customer Relationship Management,journal-article,accepted,accepted,abstract,relevant,,sources/academic/journal-article/accepted/2014-02-27--customer-centric-knowledge-creation-for-customer-relationship-management--w1952543176.md,"Title/abstract directly connects an organizational unit or business context with learning, knowledge, adaptation, innovation, or improvement."
sources/arxiv/2015--exercising-opportunities-for-cross-industry-innovation-how-to-support-absorptive-capacity-in-distant--sebastian-heil--w1958593542.md,f027b8c4064adec1a546cb3e1f6c913dc9bd1b672dc04d0a2dbdb934e8ac05fa,W1958593542,10.1142/s1363919615500486,https://doi.org/10.1142/s1363919615500486,EXERCISING OPPORTUNITIES FOR CROSS-INDUSTRY INNOVATION: HOW TO SUPPORT ABSORPTIVE CAPACITY IN DISTANT KNOWLEDGE PROCESSING,journal-article,accepted,accepted,abstract,relevant,,sources/academic/journal-article/accepted/2015-07-20--exercising-opportunities-for-cross-industry-innovation-how-to-support-absorptive-capacity-in-distant--w1958593542.md,"Title directly studies absorptive capacity, an established organizational learning and knowledge-conversion construct."
sources/arxiv/2012--owners-prior-knowledge-and-performance-the-mediation-effect-of-knowledge-absorptive-capacity-amongst--zarina-denan--w1973189905.md,fe3da1a31be8ae3e4f0286e1f74a94084c30d4db070d4a8b41632bc382e4e030,W1973189905,10.1109/itmc.2012.6306355,https://doi.org/10.1109/itmc.2012.6306355,Owners' prior knowledge and performance: The mediation effect of knowledge absorptive capacity amongst SMEs,conference-paper,accepted,accepted,abstract,relevant,,sources/academic/conference-paper/accepted/2012-06-01--owners-prior-knowledge-and-performance-the-mediation-effect-of-knowledge-absorptive-capacity-amongst--w1973189905.md,"Title directly studies absorptive capacity, an established organizational learning and knowledge-conversion construct."
sources/arxiv/2010--a-perspective-on-information-technology-based-organizational-learning--xiaomei-wang--w1985378821.md,d7019029b64d186a46a15df4a2370ebb41e923a44dc53a43b01b5563f7d250d8,W1985378821,10.1109/icime.2010.5477563,https://doi.org/10.1109/icime.2010.5477563,A perspective on information technology based organizational learning,conference-paper,accepted,accepted,abstract,relevant,,sources/academic/conference-paper/accepted/2010-01-01--a-perspective-on-information-technology-based-organizational-learning--w1985378821.md,"Title/abstract directly connects an organizational unit or business context with learning, knowledge, adaptation, innovation, or improvement."
sources/arxiv/2014--configuring-absorptive-capacity-as-a-key-process-for-research-intensive-firms--w-h-patterson--w1992325436.md,b47694571de5007fec43a9c03d37c66f12bbae6d1d0abf60d6542f33eebe564f,W1992325436,10.1016/j.technovation.2014.10.003,https://doi.org/10.1016/j.technovation.2014.10.003,Configuring absorptive capacity as a key process for research intensive firms,journal-article,accepted,accepted,metadata_only,relevant,,sources/academic/journal-article/accepted/2014-11-07--configuring-absorptive-capacity-as-a-key-process-for-research-intensive-firms--w1992325436.md,"Title directly studies absorptive capacity, an established organizational learning and knowledge-conversion construct."
sources/arxiv/2009--the-positive-effects-of-relationship-learning-and-absorptive-capacity-on-innovation-performance-and---yu-shan-chen--w1995317269.md,44a09143df1fedd90dab0f0b6a188dcd1dc14934c7b84b31f023a0b349377e0e,W1995317269,10.1016/j.indmarman.2008.12.003,https://doi.org/10.1016/j.indmarman.2008.12.003,The positive effects of relationship learning and absorptive capacity on innovation performance and competitive advantage in industrial markets,journal-article,accepted,accepted,metadata_only,relevant,,sources/academic/journal-article/accepted/2009-01-31--the-positive-effects-of-relationship-learning-and-absorptive-capacity-on-innovation-performance-and---w1995317269.md,"Title directly studies absorptive capacity, an established organizational learning and knowledge-conversion construct."
sources/arxiv/2011--an-absorptive-capacity-theory-of-knowledge-spillover-entrepreneurship--haifeng-qian--w1999462942.md,c05566891651aca7bb280a1c3fbe80789143610223690e11593c28f94e50eafb,W1999462942,10.1007/s11187-011-9368-x,https://doi.org/10.1007/s11187-011-9368-x,An absorptive capacity theory of knowledge spillover entrepreneurship,journal-article,duplicate,rejected,metadata_only,relevant,openalex:W2602055812,sources/academic/journal-article/rejected/2011-09-21--an-absorptive-capacity-theory-of-knowledge-spillover-entrepreneurship--w1999462942.md,Duplicate of OpenAlex W2602055812.
sources/arxiv/2014--enhancing-absorptive-capacity-for-innovation-and-change-the-role-of-structural-determinants--stephanie-duchek--w1999525915.md,c4db015dd35727029c3f569dff1b690a48c76a604153d28f016511c1c2b1de80,W1999525915,10.1080/14697017.2014.988637,https://doi.org/10.1080/14697017.2014.988637,Enhancing Absorptive Capacity for Innovation and Change: The Role of Structural Determinants,journal-article,accepted,accepted,abstract,relevant,,sources/academic/journal-article/accepted/2014-12-20--enhancing-absorptive-capacity-for-innovation-and-change-the-role-of-structural-determinants--w1999525915.md,"Title directly studies absorptive capacity, an established organizational learning and knowledge-conversion construct."
sources/arxiv/2015--how-can-firms-basic-research-turn-into-product-innovation-the-role-of-absorptive-capacity-and-indust--ana-isabel-mart-nez-senra--w2005142374.md,2a20248d97874843d7093202927554c7a440aada3d1aed62750899034c3f3e06,W2005142374,10.1109/tem.2014.2386614,https://doi.org/10.1109/tem.2014.2386614,How Can Firms’ Basic Research Turn Into Product Innovation? The Role of Absorptive Capacity and Industry Appropriability,journal-article,accepted,accepted,abstract,relevant,,sources/academic/journal-article/accepted/2015-01-16--how-can-firms-basic-research-turn-into-product-innovation-the-role-of-absorptive-capacity-and-indust--w2005142374.md,"Title directly studies absorptive capacity, an established organizational learning and knowledge-conversion construct."
sources/arxiv/2012--orchestrating-r-d-networks-absorptive-capacity-network-stability-and-innovation-appropriability--pia-hurmelinna-laukkanen--w2008104572.md,c3c57411b157a5a07690217b29b2e5e8329d96fcd49043757597e7fd30a4f7a1,W2008104572,10.1016/j.emj.2012.03.002,https://doi.org/10.1016/j.emj.2012.03.002,"Orchestrating R&amp;D networks: Absorptive capacity, network stability, and innovation appropriability",journal-article,accepted,accepted,metadata_only,relevant,,sources/academic/journal-article/accepted/2012-06-01--orchestrating-r-amp-d-networks-absorptive-capacity-network-stability-and-innovation-appropriability--w2008104572.md,"Title directly studies absorptive capacity, an established organizational learning and knowledge-conversion construct."
sources/arxiv/2000--information-dynamics-learning-and-knowledge-creation-in-organizations--ganesh-d-bhatt--w2009248191.md,8181b076a4eec99d13a06dc396dd27b81e5d3092231e397085473c95aafbe1e0,W2009248191,10.1108/09696470010316288,https://doi.org/10.1108/09696470010316288,"Information dynamics, learning and knowledge creation in organizations",journal-article,accepted,accepted,abstract,relevant,,sources/academic/journal-article/accepted/2000-05-01--information-dynamics-learning-and-knowledge-creation-in-organizations--w2009248191.md,"Title/abstract directly connects an organizational unit or business context with learning, knowledge, adaptation, innovation, or improvement."
sources/arxiv/2012--managing-open-incremental-process-innovation-absorptive-capacity-and-distributed-learning--paul-l-robertson--w2010579248.md,8a01fb0495e7b088c6e197f641eff43f07ef04563a748a33629457b93b71295b,W2010579248,10.1016/j.respol.2012.02.008,https://doi.org/10.1016/j.respol.2012.02.008,Managing open incremental process innovation: Absorptive Capacity and distributed learning,journal-article,accepted,accepted,metadata_only,relevant,,sources/academic/journal-article/accepted/2012-03-16--managing-open-incremental-process-innovation-absorptive-capacity-and-distributed-learning--w2010579248.md,"Title directly studies absorptive capacity, an established organizational learning and knowledge-conversion construct."
sources/arxiv/2014--can-knowledge-transfer-within-mncs-hurt-subsidiary-performance-the-role-of-subsidiary-entrepreneuria--jingxun-li--w2015042503.md,b4df7707cb58e0dedf171ed3053f66b4a3a5bdc10d20cd6b9507226298c0a26b,W2015042503,10.1016/j.jwb.2014.09.004,https://doi.org/10.1016/j.jwb.2014.09.004,Can knowledge transfer within MNCs hurt subsidiary performance? The role of subsidiary entrepreneurial culture and capabilities,journal-article,accepted,accepted,metadata_only,relevant,,sources/academic/journal-article/accepted/2014-10-11--can-knowledge-transfer-within-mncs-hurt-subsidiary-performance-the-role-of-subsidiary-entrepreneuria--w2015042503.md,"Title/abstract directly connects an organizational unit or business context with learning, knowledge, adaptation, innovation, or improvement."
sources/arxiv/2014--subsidiary-absorptive-capacity-and-knowledge-transfer-within-multinational-corporations--jaeyong-song--w2015493992.md,bc1088a90938de7f92aa41cd3a7a2658ff73d116b2c988f9b21b4bd0b2a60174,W2015493992,10.1057/jibs.2013.55,https://doi.org/10.1057/jibs.2013.55,Subsidiary absorptive capacity and knowledge transfer within multinational corporations,journal-article,accepted,accepted,metadata_only,relevant,,sources/academic/journal-article/accepted/2014-01-01--subsidiary-absorptive-capacity-and-knowledge-transfer-within-multinational-corporations--w2015493992.md,"Title directly studies absorptive capacity, an established organizational learning and knowledge-conversion construct."
sources/arxiv/2010--synergistic-effects-of-operant-knowledge-resources--joanna-phillips-melancon--w2018072225.md,7003893ad9c00bcc044a4c52b2bc6e49890d86a13eae804c4af228123e8c03b7,W2018072225,10.1108/08876041011060693,https://doi.org/10.1108/08876041011060693,Synergistic effects of operant knowledge resources,journal-article,accepted,accepted,abstract,relevant,,sources/academic/journal-article/accepted/2010-08-03--synergistic-effects-of-operant-knowledge-resources--w2018072225.md,"Title/abstract directly connects an organizational unit or business context with learning, knowledge, adaptation, innovation, or improvement."
sources/arxiv/2009--absorptive-capacity-its-determinants-and-influence-on-innovation-output-cross-cultural-validation-of--nika-murovec--w2022745178.md,4104b11a242c9244f4dd044ea7333db1c97e47b1834208008ed5ccbe90075ab4,W2022745178,10.1016/j.technovation.2009.05.010,https://doi.org/10.1016/j.technovation.2009.05.010,"Absorptive capacity, its determinants, and influence on innovation output: Cross-cultural validation of the structural model",journal-article,accepted,accepted,metadata_only,relevant,,sources/academic/journal-article/accepted/2009-06-14--absorptive-capacity-its-determinants-and-influence-on-innovation-output-cross-cultural-validation-of--w2022745178.md,"Title directly studies absorptive capacity, an established organizational learning and knowledge-conversion construct."
sources/arxiv/2013--impact-evaluation-of-customer-knowledge-process-on-customer-knowledge-expansion--samer-alhawari--w2025030878.md,08d8bb8a04c0f59eee2c698c4fd4460213a316f8933aec8e4f0db8f18a5824e5,W2025030878,10.4018/jksr.2013010103,https://doi.org/10.4018/jksr.2013010103,Impact Evaluation of Customer Knowledge Process on Customer Knowledge Expansion,journal-article,duplicate,rejected,abstract,relevant,openalex:W4243692361,sources/academic/journal-article/rejected/2013-01-01--impact-evaluation-of-customer-knowledge-process-on-customer-knowledge-expansion--w2025030878.md,Duplicate of OpenAlex W4243692361.
sources/arxiv/2013--impact-evaluation-of-customer-knowledge-process-on-customer-knowledge-acquisition--samer-alhawari--w2026140270.md,17fee20a98ccdb47d0389afd665790dd3385d2a23509eef7fd96a1a21d7a603b,W2026140270,10.4018/ijcrmm.2013100104,https://doi.org/10.4018/ijcrmm.2013100104,Impact Evaluation of Customer Knowledge Process On Customer Knowledge Acquisition,journal-article,duplicate,rejected,abstract,irrelevant,openalex:W4230885242,sources/academic/journal-article/rejected/2013-10-01--impact-evaluation-of-customer-knowledge-process-on-customer-knowledge-acquisition--w2026140270.md,Duplicate of OpenAlex W4230885242.
sources/arxiv/2013--inter-organizational-knowledge-transfer-the-perspective-of-knowledge-governance--shih-chieh-fang--w2030074618.md,dafc65c8061dbacf025e54f2834392b8b91840c7ac1b0083c3c232f2ff5db175,W2030074618,10.1108/jkm-04-2013-0138,https://doi.org/10.1108/jkm-04-2013-0138,Inter-organizational knowledge transfer: the perspective of knowledge governance,journal-article,accepted,accepted,abstract,relevant,,sources/academic/journal-article/accepted/2013-10-21--inter-organizational-knowledge-transfer-the-perspective-of-knowledge-governance--w2030074618.md,"Title/abstract directly connects an organizational unit or business context with learning, knowledge, adaptation, innovation, or improvement."
sources/arxiv/2012--investigating-absorptive-capacity-strategies-via-simulation--paola-aversa--w2034797595.md,d2eb3b7a0b3ae9c84c68104362783a396c39ecc9c18f7cbcedb008ec9e74cc3b,W2034797595,10.7148/2012-0064-0070,https://doi.org/10.7148/2012-0064-0070,Investigating Absorptive Capacity Strategies Via Simulation,conference-paper,accepted,accepted,full_text,relevant,,sources/academic/conference-paper/accepted/2012-05-20--investigating-absorptive-capacity-strategies-via-simulation--w2034797595.md,"Title directly studies absorptive capacity, an established organizational learning and knowledge-conversion construct."
sources/arxiv/2011--an-exploratory-assessment-of-the-linkages-between-hrm-practices-absorptive-capacity-and-innovation-i--michael-weeks--w2037209812.md,8f53c6edce639c25879e422912c8cd81b61f2ea25063fda24100e66895c542b6,W2037209812,10.1142/s1363919611003179,https://doi.org/10.1142/s1363919611003179,"AN EXPLORATORY ASSESSMENT OF THE LINKAGES BETWEEN HRM PRACTICES, ABSORPTIVE CAPACITY, AND INNOVATION IN OUTSOURCING RELATIONSHIPS",journal-article,accepted,accepted,abstract,relevant,,sources/academic/journal-article/accepted/2011-04-01--an-exploratory-assessment-of-the-linkages-between-hrm-practices-absorptive-capacity-and-innovation-i--w2037209812.md,"Title directly studies absorptive capacity, an established organizational learning and knowledge-conversion construct."
sources/arxiv/2014--research-on-factors-and-strategies-of-knowledge-transfer-within-scientific-research-and-innovation-t--guizhu-xie--w2039024536.md,e9d11f77752f54675c97dea6ee0598ea32ec6018563589ddd9942470aef99c62,W2039024536,10.2991/icibet-14.2014.46,https://doi.org/10.2991/icibet-14.2014.46,Research on Factors and Strategies of Knowledge Transfer within Scientific Research and Innovation Teams in Universities,conference-paper,accepted,accepted,abstract,relevant,,sources/academic/conference-paper/accepted/2014-01-01--research-on-factors-and-strategies-of-knowledge-transfer-within-scientific-research-and-innovation-t--w2039024536.md,"Title/abstract directly connects an organizational unit or business context with learning, knowledge, adaptation, innovation, or improvement."
sources/arxiv/2006--empirical-analysis-on-the-mediating-role-of-absorptive-capacity-between-knowledge-spillover-and-inno--xiumei-zhu--w2040818436.md,582a215e3f8fa6ff200eb1810a2f646e5d841368fb802ba6cbe13018325aee5f,W2040818436,10.1109/icmse.2006.314077,https://doi.org/10.1109/icmse.2006.314077,Empirical Analysis on the Mediating Role of Absorptive Capacity between Knowledge Spillover and Innovative Performance of Firms within High-tech Industry Cluster,conference-paper,accepted,accepted,abstract,relevant,,sources/academic/conference-paper/accepted/2006-01-01--empirical-analysis-on-the-mediating-role-of-absorptive-capacity-between-knowledge-spillover-and-inno--w2040818436.md,"Title directly studies absorptive capacity, an established organizational learning and knowledge-conversion construct."
sources/arxiv/2011--generating-innovation-opportunities-how-to-explore-and-absorb-customer-knowledge--anne-kallio--w2043233302.md,b3251da6523fc7334b01cacd01e18ca178b3b1c52594da3aebaafc2bf3312df3,W2043233302,10.1504/ijtm.2011.042981,https://doi.org/10.1504/ijtm.2011.042981,Generating innovation opportunities: how to explore and absorb customer knowledge,journal-article,accepted,accepted,abstract,relevant,,sources/academic/journal-article/accepted/2011-01-01--generating-innovation-opportunities-how-to-explore-and-absorb-customer-knowledge--w2043233302.md,"Title/abstract directly connects an organizational unit or business context with learning, knowledge, adaptation, innovation, or improvement."
sources/arxiv/2010--modeling-of-the-knowledge-absorptive-capacity-for-a-modern-service-enterprise--yuanjian-qin--w2045106028.md,16489411d54fd6f147d76eef37df8df23af1b54a52013416c5da7b0b940c6eaa,W2045106028,10.1109/itapp.2010.5566154,https://doi.org/10.1109/itapp.2010.5566154,Modeling of the Knowledge Absorptive Capacity for a Modern Service Enterprise,conference-paper,accepted,accepted,abstract,relevant,,sources/academic/conference-paper/accepted/2010-08-01--modeling-of-the-knowledge-absorptive-capacity-for-a-modern-service-enterprise--w2045106028.md,"Title directly studies absorptive capacity, an established organizational learning and knowledge-conversion construct."
sources/arxiv/2013--exploring-the-role-of-dynamic-capabilities-in-firm-performance-under-the-resource-based-view-framewo--yini-lin--w2050753516.md,064528aa12a8b38c59742fa50bcc87a4c9471daacc5d6832efa9de67f12059bc,W2050753516,10.1016/j.jbusres.2012.12.019,https://doi.org/10.1016/j.jbusres.2012.12.019,Exploring the role of dynamic capabilities in firm performance under the resource-based view framework,journal-article,accepted,accepted,metadata_only,relevant,,sources/academic/journal-article/accepted/2013-01-05--exploring-the-role-of-dynamic-capabilities-in-firm-performance-under-the-resource-based-view-framewo--w2050753516.md,"Title/abstract directly connects an organizational unit or business context with learning, knowledge, adaptation, innovation, or improvement."
sources/arxiv/2009--potential-and-realized-absorptive-capacities-their-effect-on-firms-competitive-advantage-and-the-rol--erming-xu--w2054873847.md,10ca608cbb0abe65b7839687d81b029f679fa0c3059bbcae6db429ac3fc5c6da,W2054873847,10.1109/icmse.2009.5317398,https://doi.org/10.1109/icmse.2009.5317398,Potential and realized absorptive capacities: Their effect on firms' competitive advantage and the role of communication,conference-paper,accepted,accepted,abstract,relevant,,sources/academic/conference-paper/accepted/2009-09-01--potential-and-realized-absorptive-capacities-their-effect-on-firms-competitive-advantage-and-the-rol--w2054873847.md,"Title directly studies absorptive capacity, an established organizational learning and knowledge-conversion construct."
sources/arxiv/2010--the-outcome-of-knowledge-process-for-customer-of-jordanian-companies-on-the-achievement-of-customer---amine-nehari-talet--w2062893154.md,116d3a41bce54e62fc1f951323586700549be520734250ca84fad8bef73e335d,W2062893154,10.4018/jkm.2010103003,https://doi.org/10.4018/jkm.2010103003,The Outcome of Knowledge Process for Customer of Jordanian Companies on the Achievement of Customer Knowledge Retention,journal-article,accepted,accepted,abstract,relevant,,sources/academic/journal-article/accepted/2010-01-01--the-outcome-of-knowledge-process-for-customer-of-jordanian-companies-on-the-achievement-of-customer---w2062893154.md,"Title/abstract directly connects an organizational unit or business context with learning, knowledge, adaptation, innovation, or improvement."
sources/arxiv/2007--resources-absorptive-capacity-and-technology-sourcing--hongwu-sam-ouyang--w2065309558.md,f2c345224c243e645c458adc12a7870c94da3ab9b73c2d43c8ed9b0fb8672ede,W2065309558,10.1504/ijtm.2008.015991,https://doi.org/10.1504/ijtm.2008.015991,"Resources, absorptive capacity, and technology sourcing",journal-article,accepted,accepted,abstract,relevant,,sources/academic/journal-article/accepted/2007-12-03--resources-absorptive-capacity-and-technology-sourcing--w2065309558.md,"Title directly studies absorptive capacity, an established organizational learning and knowledge-conversion construct."
sources/arxiv/2011--innovations-in-a-relational-context-mechanisms-to-connect-learning-processes-of-absorptive-capacity--desir-e-knoppen--w2071418825.md,eb8a37ac8fcd04df248633adaf49119c07390ea1085f89b490ccd8da7586b0b3,W2071418825,10.1177/1350507610389684,https://doi.org/10.1177/1350507610389684,Innovations in a relational context: Mechanisms to connect learning processes of absorptive capacity,journal-article,accepted,accepted,abstract,relevant,,sources/academic/journal-article/accepted/2011-03-31--innovations-in-a-relational-context-mechanisms-to-connect-learning-processes-of-absorptive-capacity--w2071418825.md,"Title directly studies absorptive capacity, an established organizational learning and knowledge-conversion construct."
sources/arxiv/2006--the-theoretical-foundations-of-knowledge-management--richard-baskerville--w2081797436.md,6ffe22c6be216f8f8d34f9116bfedd79aff0c509e1adaf533ea025b768e04914,W2081797436,10.1057/palgrave.kmrp.8500090,https://doi.org/10.1057/palgrave.kmrp.8500090,The theoretical foundations of knowledge management,journal-article,accepted,accepted,abstract,relevant,,sources/academic/journal-article/accepted/2006-05-01--the-theoretical-foundations-of-knowledge-management--w2081797436.md,"Title/abstract directly connects an organizational unit or business context with learning, knowledge, adaptation, innovation, or improvement."
