loop,topic,facet,query,started_at,completed_at,provider,http_status,outcome,evidence_count,artifact
28,continuous improvement,human oversight,"""continuous improvement"" human oversight",2026-07-11T14:08:50.455089+00:00,2026-07-11T14:08:51.055850+00:00,Crossref REST API,200,productive,3,artifacts/028--continuous-improvement--human-oversight.json
29,continuous improvement,production deployment,"""continuous improvement"" production deployment",2026-07-11T14:08:50.456571+00:00,2026-07-11T14:08:51.068793+00:00,Crossref REST API,200,productive,3,artifacts/029--continuous-improvement--production-deployment.json
30,continuous improvement,evaluation,"""continuous improvement"" evaluation",2026-07-11T14:08:50.464766+00:00,2026-07-11T14:08:51.078061+00:00,Crossref REST API,200,productive,3,artifacts/030--continuous-improvement--evaluation.json
31,lean kaizen,implementation,"""lean kaizen"" implementation",2026-07-11T14:08:50.513845+00:00,2026-07-11T14:08:51.064632+00:00,Crossref REST API,200,productive,3,artifacts/031--lean-kaizen--implementation.json
32,lean kaizen,case study,"""lean kaizen"" case study",2026-07-11T14:08:50.606606+00:00,2026-07-11T14:08:52.125878+00:00,Crossref REST API,200,productive,3,artifacts/032--lean-kaizen--case-study.json
33,lean kaizen,empirical evidence,"""lean kaizen"" empirical evidence",2026-07-11T14:08:50.773046+00:00,2026-07-11T14:08:51.325159+00:00,Crossref REST API,200,productive,3,artifacts/033--lean-kaizen--empirical-evidence.json
34,lean kaizen,governance,"""lean kaizen"" governance",2026-07-11T14:08:50.989775+00:00,2026-07-11T14:08:51.479760+00:00,Crossref REST API,200,productive,3,artifacts/034--lean-kaizen--governance.json
35,lean kaizen,failure,"""lean kaizen"" failure",2026-07-11T14:08:51.055947+00:00,2026-07-11T14:08:51.608778+00:00,Crossref REST API,200,productive,3,artifacts/035--lean-kaizen--failure.json
36,lean kaizen,measurement,"""lean kaizen"" measurement",2026-07-11T14:08:51.064722+00:00,2026-07-11T14:08:51.619659+00:00,Crossref REST API,200,productive,3,artifacts/036--lean-kaizen--measurement.json
37,lean kaizen,feedback loop,"""lean kaizen"" feedback loop",2026-07-11T14:08:51.068901+00:00,2026-07-11T14:08:51.627156+00:00,Crossref REST API,200,productive,3,artifacts/037--lean-kaizen--feedback-loop.json
38,lean kaizen,human oversight,"""lean kaizen"" human oversight",2026-07-11T14:08:51.078172+00:00,2026-07-11T14:08:51.639239+00:00,Crossref REST API,200,productive,3,artifacts/038--lean-kaizen--human-oversight.json
39,lean kaizen,production deployment,"""lean kaizen"" production deployment",2026-07-11T14:08:51.325306+00:00,2026-07-11T14:08:51.815387+00:00,Crossref REST API,200,productive,3,artifacts/039--lean-kaizen--production-deployment.json
40,lean kaizen,evaluation,"""lean kaizen"" evaluation",2026-07-11T14:08:51.403619+00:00,2026-07-11T14:08:51.886504+00:00,Crossref REST API,200,productive,3,artifacts/040--lean-kaizen--evaluation.json
41,organizational cybernetics,implementation,"""organizational cybernetics"" implementation",2026-07-11T14:08:51.479861+00:00,2026-07-11T14:08:52.027504+00:00,Crossref REST API,200,productive,3,artifacts/041--organizational-cybernetics--implementation.json
42,organizational cybernetics,case study,"""organizational cybernetics"" case study",2026-07-11T14:08:51.608878+00:00,2026-07-11T14:08:52.208212+00:00,Crossref REST API,200,productive,3,artifacts/042--organizational-cybernetics--case-study.json
43,organizational cybernetics,empirical evidence,"""organizational cybernetics"" empirical evidence",2026-07-11T14:08:51.619750+00:00,2026-07-11T14:08:52.230639+00:00,Crossref REST API,200,productive,3,artifacts/043--organizational-cybernetics--empirical-evidence.json
44,organizational cybernetics,governance,"""organizational cybernetics"" governance",2026-07-11T14:08:51.627246+00:00,2026-07-11T14:08:52.232304+00:00,Crossref REST API,200,productive,3,artifacts/044--organizational-cybernetics--governance.json
45,organizational cybernetics,failure,"""organizational cybernetics"" failure",2026-07-11T14:08:51.639328+00:00,2026-07-11T14:08:52.234714+00:00,Crossref REST API,200,productive,3,artifacts/045--organizational-cybernetics--failure.json
46,organizational cybernetics,measurement,"""organizational cybernetics"" measurement",2026-07-11T14:08:51.815544+00:00,2026-07-11T14:08:52.317558+00:00,Crossref REST API,200,productive,3,artifacts/046--organizational-cybernetics--measurement.json
47,organizational cybernetics,feedback loop,"""organizational cybernetics"" feedback loop",2026-07-11T14:08:51.886637+00:00,2026-07-11T14:08:52.399828+00:00,Crossref REST API,200,productive,3,artifacts/047--organizational-cybernetics--feedback-loop.json
48,organizational cybernetics,human oversight,"""organizational cybernetics"" human oversight",2026-07-11T14:08:52.027608+00:00,2026-07-11T14:08:52.546514+00:00,Crossref REST API,200,productive,3,artifacts/048--organizational-cybernetics--human-oversight.json
49,organizational cybernetics,production deployment,"""organizational cybernetics"" production deployment",2026-07-11T14:08:52.126013+00:00,2026-07-11T14:08:52.662732+00:00,Crossref REST API,200,productive,3,artifacts/049--organizational-cybernetics--production-deployment.json
50,organizational cybernetics,evaluation,"""organizational cybernetics"" evaluation",2026-07-11T14:08:52.208358+00:00,2026-07-11T14:08:52.743978+00:00,Crossref REST API,200,productive,3,artifacts/050--organizational-cybernetics--evaluation.json
51,adaptive enterprise,implementation,"""adaptive enterprise"" implementation",2026-07-11T14:08:52.230750+00:00,2026-07-11T14:08:52.823320+00:00,Crossref REST API,200,productive,3,artifacts/051--adaptive-enterprise--implementation.json
52,adaptive enterprise,case study,"""adaptive enterprise"" case study",2026-07-11T14:08:52.232398+00:00,2026-07-11T14:08:52.911242+00:00,Crossref REST API,200,productive,3,artifacts/052--adaptive-enterprise--case-study.json
53,adaptive enterprise,empirical evidence,"""adaptive enterprise"" empirical evidence",2026-07-11T14:08:52.234807+00:00,2026-07-11T14:08:52.871036+00:00,Crossref REST API,200,productive,3,artifacts/053--adaptive-enterprise--empirical-evidence.json
54,adaptive enterprise,governance,"""adaptive enterprise"" governance",2026-07-11T14:08:52.317693+00:00,2026-07-11T14:08:52.869450+00:00,Crossref REST API,200,productive,3,artifacts/054--adaptive-enterprise--governance.json
55,adaptive enterprise,failure,"""adaptive enterprise"" failure",2026-07-11T14:08:52.399978+00:00,2026-07-11T14:08:52.891629+00:00,Crossref REST API,200,productive,3,artifacts/055--adaptive-enterprise--failure.json
56,adaptive enterprise,measurement,"""adaptive enterprise"" measurement",2026-07-11T14:08:52.546654+00:00,2026-07-11T14:08:53.049360+00:00,Crossref REST API,200,productive,3,artifacts/056--adaptive-enterprise--measurement.json
57,adaptive enterprise,feedback loop,"""adaptive enterprise"" feedback loop",2026-07-11T14:08:52.662848+00:00,2026-07-11T14:08:53.162920+00:00,Crossref REST API,200,productive,3,artifacts/057--adaptive-enterprise--feedback-loop.json
58,adaptive enterprise,human oversight,"""adaptive enterprise"" human oversight",2026-07-11T14:08:52.744101+00:00,2026-07-11T14:08:53.282581+00:00,Crossref REST API,200,productive,3,artifacts/058--adaptive-enterprise--human-oversight.json
59,adaptive enterprise,production deployment,"""adaptive enterprise"" production deployment",2026-07-11T14:08:52.823443+00:00,2026-07-11T14:08:53.366007+00:00,Crossref REST API,200,productive,3,artifacts/059--adaptive-enterprise--production-deployment.json
60,adaptive enterprise,evaluation,"""adaptive enterprise"" evaluation",2026-07-11T14:08:52.869581+00:00,2026-07-11T14:08:53.458571+00:00,Crossref REST API,200,productive,3,artifacts/060--adaptive-enterprise--evaluation.json
61,AI native company,implementation,"""AI native company"" implementation",2026-07-11T14:08:52.871123+00:00,2026-07-11T14:08:53.471052+00:00,Crossref REST API,200,productive,3,artifacts/061--ai-native-company--implementation.json
62,AI native company,case study,"""AI native company"" case study",2026-07-11T14:08:52.891758+00:00,2026-07-11T14:08:53.600911+00:00,Crossref REST API,200,productive,3,artifacts/062--ai-native-company--case-study.json
63,AI native company,empirical evidence,"""AI native company"" empirical evidence",2026-07-11T14:08:52.911385+00:00,2026-07-11T14:08:53.549345+00:00,Crossref REST API,200,productive,3,artifacts/063--ai-native-company--empirical-evidence.json
64,AI native company,governance,"""AI native company"" governance",2026-07-11T14:08:53.049528+00:00,2026-07-11T14:08:53.598001+00:00,Crossref REST API,200,productive,3,artifacts/064--ai-native-company--governance.json
65,AI native company,failure,"""AI native company"" failure",2026-07-11T14:08:53.163037+00:00,2026-07-11T14:08:53.653632+00:00,Crossref REST API,200,productive,3,artifacts/065--ai-native-company--failure.json
66,AI native company,measurement,"""AI native company"" measurement",2026-07-11T14:08:53.282702+00:00,2026-07-11T14:08:53.775345+00:00,Crossref REST API,200,productive,3,artifacts/066--ai-native-company--measurement.json
67,AI native company,feedback loop,"""AI native company"" feedback loop",2026-07-11T14:08:53.366118+00:00,2026-07-11T14:08:53.878848+00:00,Crossref REST API,200,productive,3,artifacts/067--ai-native-company--feedback-loop.json
68,AI native company,human oversight,"""AI native company"" human oversight",2026-07-11T14:08:53.458728+00:00,2026-07-11T14:08:54.055501+00:00,Crossref REST API,200,productive,3,artifacts/068--ai-native-company--human-oversight.json
69,AI native company,production deployment,"""AI native company"" production deployment",2026-07-11T14:08:53.471152+00:00,2026-07-11T14:08:54.053914+00:00,Crossref REST API,200,productive,3,artifacts/069--ai-native-company--production-deployment.json
70,AI native company,evaluation,"""AI native company"" evaluation",2026-07-11T14:08:53.549448+00:00,2026-07-11T14:08:54.195849+00:00,Crossref REST API,200,productive,3,artifacts/070--ai-native-company--evaluation.json
71,autonomous enterprise,implementation,"""autonomous enterprise"" implementation",2026-07-11T14:08:53.598110+00:00,2026-07-11T14:08:54.240900+00:00,Crossref REST API,200,productive,3,artifacts/071--autonomous-enterprise--implementation.json
72,autonomous enterprise,case study,"""autonomous enterprise"" case study",2026-07-11T14:08:53.601014+00:00,2026-07-11T14:08:54.237449+00:00,Crossref REST API,200,productive,3,artifacts/072--autonomous-enterprise--case-study.json
73,autonomous enterprise,empirical evidence,"""autonomous enterprise"" empirical evidence",2026-07-11T14:08:53.653738+00:00,2026-07-11T14:08:54.170354+00:00,Crossref REST API,200,productive,3,artifacts/073--autonomous-enterprise--empirical-evidence.json
74,autonomous enterprise,governance,"""autonomous enterprise"" governance",2026-07-11T14:08:53.775459+00:00,2026-07-11T14:08:54.265989+00:00,Crossref REST API,200,productive,3,artifacts/074--autonomous-enterprise--governance.json
75,autonomous enterprise,failure,"""autonomous enterprise"" failure",2026-07-11T14:08:53.878966+00:00,2026-07-11T14:08:54.359030+00:00,Crossref REST API,200,productive,3,artifacts/075--autonomous-enterprise--failure.json
76,autonomous enterprise,measurement,"""autonomous enterprise"" measurement",2026-07-11T14:08:54.054037+00:00,2026-07-11T14:08:54.568071+00:00,Crossref REST API,200,productive,3,artifacts/076--autonomous-enterprise--measurement.json
77,autonomous enterprise,feedback loop,"""autonomous enterprise"" feedback loop",2026-07-11T14:08:54.055596+00:00,2026-07-11T14:08:54.572365+00:00,Crossref REST API,200,productive,3,artifacts/077--autonomous-enterprise--feedback-loop.json
78,autonomous enterprise,human oversight,"""autonomous enterprise"" human oversight",2026-07-11T14:08:54.170461+00:00,2026-07-11T14:08:54.676776+00:00,Crossref REST API,200,productive,3,artifacts/078--autonomous-enterprise--human-oversight.json
79,autonomous enterprise,production deployment,"""autonomous enterprise"" production deployment",2026-07-11T14:08:54.195971+00:00,2026-07-11T14:08:54.725707+00:00,Crossref REST API,200,productive,3,artifacts/079--autonomous-enterprise--production-deployment.json
80,autonomous enterprise,evaluation,"""autonomous enterprise"" evaluation",2026-07-11T14:08:54.237589+00:00,2026-07-11T14:08:54.789634+00:00,Crossref REST API,200,productive,3,artifacts/080--autonomous-enterprise--evaluation.json
81,organizational memory,implementation,"""organizational memory"" implementation",2026-07-11T14:08:54.241031+00:00,2026-07-11T14:08:54.797185+00:00,Crossref REST API,200,productive,3,artifacts/081--organizational-memory--implementation.json
82,organizational memory,case study,"""organizational memory"" case study",2026-07-11T14:08:54.266140+00:00,2026-07-11T14:08:54.845593+00:00,Crossref REST API,200,productive,3,artifacts/082--organizational-memory--case-study.json
83,organizational memory,empirical evidence,"""organizational memory"" empirical evidence",2026-07-11T14:08:54.359179+00:00,2026-07-11T14:08:54.881626+00:00,Crossref REST API,200,productive,3,artifacts/083--organizational-memory--empirical-evidence.json
84,organizational memory,governance,"""organizational memory"" governance",2026-07-11T14:08:54.568182+00:00,2026-07-11T14:08:55.091447+00:00,Crossref REST API,200,productive,3,artifacts/084--organizational-memory--governance.json
85,organizational memory,failure,"""organizational memory"" failure",2026-07-11T14:08:54.572497+00:00,2026-07-11T14:08:55.082644+00:00,Crossref REST API,200,productive,3,artifacts/085--organizational-memory--failure.json
86,organizational memory,measurement,"""organizational memory"" measurement",2026-07-11T14:08:54.676892+00:00,2026-07-11T14:08:55.184857+00:00,Crossref REST API,200,productive,3,artifacts/086--organizational-memory--measurement.json
87,organizational memory,feedback loop,"""organizational memory"" feedback loop",2026-07-11T14:08:54.725814+00:00,2026-07-11T14:08:55.246774+00:00,Crossref REST API,200,productive,3,artifacts/087--organizational-memory--feedback-loop.json
88,organizational memory,human oversight,"""organizational memory"" human oversight",2026-07-11T14:08:54.789763+00:00,2026-07-11T14:08:55.377279+00:00,Crossref REST API,200,productive,3,artifacts/088--organizational-memory--human-oversight.json
89,organizational memory,production deployment,"""organizational memory"" production deployment",2026-07-11T14:08:54.797293+00:00,2026-07-11T14:08:55.403957+00:00,Crossref REST API,200,productive,3,artifacts/089--organizational-memory--production-deployment.json
90,organizational memory,evaluation,"""organizational memory"" evaluation",2026-07-11T14:08:54.845707+00:00,2026-07-11T14:08:55.392089+00:00,Crossref REST API,200,productive,3,artifacts/090--organizational-memory--evaluation.json
91,agentic organization,implementation,"""agentic organization"" implementation",2026-07-11T14:08:54.881745+00:00,2026-07-11T14:08:56.465031+00:00,Crossref REST API,200,productive,3,artifacts/091--agentic-organization--implementation.json
92,agentic organization,case study,"""agentic organization"" case study",2026-07-11T14:08:55.082747+00:00,2026-07-11T14:08:55.728859+00:00,Crossref REST API,200,productive,3,artifacts/092--agentic-organization--case-study.json
93,agentic organization,empirical evidence,"""agentic organization"" empirical evidence",2026-07-11T14:08:55.091614+00:00,2026-07-11T14:08:55.785784+00:00,Crossref REST API,200,productive,3,artifacts/093--agentic-organization--empirical-evidence.json
94,agentic organization,governance,"""agentic organization"" governance",2026-07-11T14:08:55.184995+00:00,2026-07-11T14:08:55.734954+00:00,Crossref REST API,200,productive,3,artifacts/094--agentic-organization--governance.json
95,agentic organization,failure,"""agentic organization"" failure",2026-07-11T14:08:55.246919+00:00,2026-07-11T14:08:55.822765+00:00,Crossref REST API,200,productive,3,artifacts/095--agentic-organization--failure.json
96,agentic organization,measurement,"""agentic organization"" measurement",2026-07-11T14:08:55.377433+00:00,2026-07-11T14:08:55.920434+00:00,Crossref REST API,200,productive,3,artifacts/096--agentic-organization--measurement.json
97,agentic organization,feedback loop,"""agentic organization"" feedback loop",2026-07-11T14:08:55.392183+00:00,2026-07-11T14:08:56.025411+00:00,Crossref REST API,200,productive,3,artifacts/097--agentic-organization--feedback-loop.json
98,agentic organization,human oversight,"""agentic organization"" human oversight",2026-07-11T14:08:55.404072+00:00,2026-07-11T14:08:55.945783+00:00,Crossref REST API,200,productive,3,artifacts/098--agentic-organization--human-oversight.json
99,agentic organization,production deployment,"""agentic organization"" production deployment",2026-07-11T14:08:55.728966+00:00,2026-07-11T14:08:56.295486+00:00,Crossref REST API,200,productive,3,artifacts/099--agentic-organization--production-deployment.json
100,agentic organization,evaluation,"""agentic organization"" evaluation",2026-07-11T14:08:55.735054+00:00,2026-07-11T14:08:56.285363+00:00,Crossref REST API,200,productive,3,artifacts/100--agentic-organization--evaluation.json
101,recursive improvement,implementation,"""recursive improvement"" implementation",2026-07-11T14:08:55.785880+00:00,2026-07-11T14:08:56.361661+00:00,Crossref REST API,200,productive,3,artifacts/101--recursive-improvement--implementation.json
102,recursive improvement,case study,"""recursive improvement"" case study",2026-07-11T14:08:55.822869+00:00,2026-07-11T14:08:56.506384+00:00,Crossref REST API,200,productive,3,artifacts/102--recursive-improvement--case-study.json
103,recursive improvement,empirical evidence,"""recursive improvement"" empirical evidence",2026-07-11T14:08:55.920600+00:00,2026-07-11T14:08:56.439137+00:00,Crossref REST API,200,productive,3,artifacts/103--recursive-improvement--empirical-evidence.json
104,recursive improvement,governance,"""recursive improvement"" governance",2026-07-11T14:08:55.945900+00:00,2026-07-11T14:08:56.518079+00:00,Crossref REST API,200,productive,3,artifacts/104--recursive-improvement--governance.json
105,recursive improvement,failure,"""recursive improvement"" failure",2026-07-11T14:08:56.025553+00:00,2026-07-11T14:08:56.510542+00:00,Crossref REST API,200,productive,3,artifacts/105--recursive-improvement--failure.json
106,recursive improvement,measurement,"""recursive improvement"" measurement",2026-07-11T14:08:56.285487+00:00,2026-07-11T14:08:56.811117+00:00,Crossref REST API,200,productive,3,artifacts/106--recursive-improvement--measurement.json
107,recursive improvement,feedback loop,"""recursive improvement"" feedback loop",2026-07-11T14:08:56.295581+00:00,2026-07-11T14:08:56.885843+00:00,Crossref REST API,200,productive,3,artifacts/107--recursive-improvement--feedback-loop.json
108,recursive improvement,human oversight,"""recursive improvement"" human oversight",2026-07-11T14:08:56.361771+00:00,2026-07-11T14:08:56.941413+00:00,Crossref REST API,200,productive,3,artifacts/108--recursive-improvement--human-oversight.json
109,recursive improvement,production deployment,"""recursive improvement"" production deployment",2026-07-11T14:08:56.439238+00:00,2026-07-11T14:08:57.067172+00:00,Crossref REST API,200,productive,3,artifacts/109--recursive-improvement--production-deployment.json
110,recursive improvement,evaluation,"""recursive improvement"" evaluation",2026-07-11T14:08:56.465192+00:00,2026-07-11T14:08:57.072007+00:00,Crossref REST API,200,productive,3,artifacts/110--recursive-improvement--evaluation.json
111,continual learning agents,implementation,"""continual learning agents"" implementation",2026-07-11T14:08:56.506535+00:00,2026-07-11T14:08:57.166300+00:00,Crossref REST API,200,productive,3,artifacts/111--continual-learning-agents--implementation.json
112,continual learning agents,case study,"""continual learning agents"" case study",2026-07-11T14:08:56.510626+00:00,2026-07-11T14:08:57.175291+00:00,Crossref REST API,200,productive,3,artifacts/112--continual-learning-agents--case-study.json
113,continual learning agents,empirical evidence,"""continual learning agents"" empirical evidence",2026-07-11T14:08:56.518218+00:00,2026-07-11T14:08:57.176895+00:00,Crossref REST API,200,productive,3,artifacts/113--continual-learning-agents--empirical-evidence.json
114,continual learning agents,governance,"""continual learning agents"" governance",2026-07-11T14:08:56.811235+00:00,2026-07-11T14:08:57.382718+00:00,Crossref REST API,200,productive,3,artifacts/114--continual-learning-agents--governance.json
115,continual learning agents,failure,"""continual learning agents"" failure",2026-07-11T14:08:56.885955+00:00,2026-07-11T14:08:57.457966+00:00,Crossref REST API,200,productive,3,artifacts/115--continual-learning-agents--failure.json
116,continual learning agents,measurement,"""continual learning agents"" measurement",2026-07-11T14:08:56.941556+00:00,2026-07-11T14:08:57.486416+00:00,Crossref REST API,200,productive,3,artifacts/116--continual-learning-agents--measurement.json
117,continual learning agents,feedback loop,"""continual learning agents"" feedback loop",2026-07-11T14:08:57.067286+00:00,2026-07-11T14:08:57.597679+00:00,Crossref REST API,200,productive,3,artifacts/117--continual-learning-agents--feedback-loop.json
118,continual learning agents,human oversight,"""continual learning agents"" human oversight",2026-07-11T14:08:57.072105+00:00,2026-07-11T14:08:57.607714+00:00,Crossref REST API,200,productive,3,artifacts/118--continual-learning-agents--human-oversight.json
119,continual learning agents,production deployment,"""continual learning agents"" production deployment",2026-07-11T14:08:57.166413+00:00,2026-07-11T14:08:57.752219+00:00,Crossref REST API,200,productive,3,artifacts/119--continual-learning-agents--production-deployment.json
120,continual learning agents,evaluation,"""continual learning agents"" evaluation",2026-07-11T14:08:57.175413+00:00,2026-07-11T14:08:57.765263+00:00,Crossref REST API,200,productive,3,artifacts/120--continual-learning-agents--evaluation.json
121,automated experimentation,implementation,"""automated experimentation"" implementation",2026-07-11T14:08:57.176988+00:00,2026-07-11T14:08:57.749497+00:00,Crossref REST API,200,productive,3,artifacts/121--automated-experimentation--implementation.json
122,automated experimentation,case study,"""automated experimentation"" case study",2026-07-11T14:08:57.382871+00:00,2026-07-11T14:08:57.912079+00:00,Crossref REST API,200,productive,3,artifacts/122--automated-experimentation--case-study.json
123,automated experimentation,empirical evidence,"""automated experimentation"" empirical evidence",2026-07-11T14:08:57.458114+00:00,2026-07-11T14:08:57.972461+00:00,Crossref REST API,200,productive,3,artifacts/123--automated-experimentation--empirical-evidence.json
124,automated experimentation,governance,"""automated experimentation"" governance",2026-07-11T14:08:57.486547+00:00,2026-07-11T14:08:58.020820+00:00,Crossref REST API,200,productive,3,artifacts/124--automated-experimentation--governance.json
125,automated experimentation,failure,"""automated experimentation"" failure",2026-07-11T14:08:57.597802+00:00,2026-07-11T14:08:58.131353+00:00,Crossref REST API,200,productive,3,artifacts/125--automated-experimentation--failure.json
126,automated experimentation,measurement,"""automated experimentation"" measurement",2026-07-11T14:08:57.607850+00:00,2026-07-11T14:08:58.177648+00:00,Crossref REST API,200,productive,3,artifacts/126--automated-experimentation--measurement.json
127,automated experimentation,feedback loop,"""automated experimentation"" feedback loop",2026-07-11T14:08:57.749599+00:00,2026-07-11T14:08:58.376501+00:00,Crossref REST API,200,productive,3,artifacts/127--automated-experimentation--feedback-loop.json
128,automated experimentation,human oversight,"""automated experimentation"" human oversight",2026-07-11T14:08:57.752316+00:00,2026-07-11T14:08:58.382346+00:00,Crossref REST API,200,productive,3,artifacts/128--automated-experimentation--human-oversight.json
129,automated experimentation,production deployment,"""automated experimentation"" production deployment",2026-07-11T14:08:57.765393+00:00,2026-07-11T14:08:58.310543+00:00,Crossref REST API,200,productive,3,artifacts/129--automated-experimentation--production-deployment.json
130,automated experimentation,evaluation,"""automated experimentation"" evaluation",2026-07-11T14:08:57.912200+00:00,2026-07-11T14:08:58.434747+00:00,Crossref REST API,200,productive,3,artifacts/130--automated-experimentation--evaluation.json
131,self optimizing product,implementation,"""self optimizing product"" implementation",2026-07-11T14:08:57.972604+00:00,2026-07-11T14:08:58.587699+00:00,Crossref REST API,200,productive,3,artifacts/131--self-optimizing-product--implementation.json
132,self optimizing product,case study,"""self optimizing product"" case study",2026-07-11T14:08:58.020941+00:00,2026-07-11T14:08:58.698591+00:00,Crossref REST API,200,productive,3,artifacts/132--self-optimizing-product--case-study.json
